fecha,pm10
2017-01-06 11:59:59+00:00,88.29999999999998
2017-01-06 12:59:59+00:00,72.7
2017-01-06 13:59:59+00:00,72.7
2017-01-06 14:59:59+00:00,67.0
2017-01-06 15:59:59+00:00,27.6
2017-01-06 16:59:59+00:00,47.2
2017-01-06 17:59:59+00:00,51.0
2017-01-06 18:59:59+00:00,47.9
2017-01-06 19:59:59+00:00,46.8
2017-01-06 20:59:59+00:00,31.1
2017-01-06 21:59:59+00:00,37.0
2017-01-06 22:59:59+00:00,69.9
2017-01-06 23:59:59+00:00,53.3
2017-01-07 00:59:59+00:00,51.4
2017-01-07 01:59:59+00:00,76.59999999999998
2017-01-07 02:59:59+00:00,34.6
2017-01-07 03:59:59+00:00,33.1
2017-01-07 04:59:59+00:00,52.3
2017-01-07 05:59:59+00:00,79.7
2017-01-07 06:59:59+00:00,92.8
2017-01-07 07:59:59+00:00,57.1
2017-01-07 08:59:59+00:00,58.4
2017-01-07 09:59:59+00:00,80.29999999999998
2017-01-07 10:59:59+00:00,101.6
2017-01-07 11:59:59+00:00,80.59999999999998
2017-01-07 12:59:59+00:00,75.9
2017-01-07 13:59:59+00:00,61.6
2017-01-07 14:59:59+00:00,56.4
2017-01-07 15:59:59+00:00,46.5
2017-01-07 16:59:59+00:00,35.7
2017-01-07 17:59:59+00:00,33.7
2017-01-07 18:59:59+00:00,30.4
2017-01-07 19:59:59+00:00,28.1
2017-01-07 20:59:59+00:00,25.6
2017-01-07 21:59:59+00:00,28.2
2017-01-07 22:59:59+00:00,28.6
2017-01-07 23:59:59+00:00,20.4
2017-01-08 00:59:59+00:00,27.301990764063092
2017-01-08 01:59:59+00:00,18.263412109403326
2017-01-08 02:59:59+00:00,24.133045711192118
2017-01-08 03:59:59+00:00,8.699999999999998
2017-01-08 04:59:59+00:00,15.2
2017-01-08 05:59:59+00:00,15.5
2017-01-08 06:59:59+00:00,12.8
2017-01-08 07:59:59+00:00,18.7
2017-01-08 08:59:59+00:00,14.8
2017-01-08 09:59:59+00:00,18.0
2017-01-08 10:59:59+00:00,14.7
2017-01-08 11:59:59+00:00,17.7
2017-01-08 12:59:59+00:00,28.2
2017-01-08 13:59:59+00:00,32.9
2017-01-08 14:59:59+00:00,37.8
2017-01-08 15:59:59+00:00,50.0
2017-01-08 16:59:59+00:00,38.1
2017-01-08 17:59:59+00:00,60.0
2017-01-08 18:59:59+00:00,50.5
2017-01-08 19:59:59+00:00,53.2
2017-01-08 20:59:59+00:00,51.5
2017-01-08 21:59:59+00:00,64.9
2017-01-08 22:59:59+00:00,56.7
2017-01-08 23:59:59+00:00,57.0
2017-01-09 00:59:59+00:00,41.1
2017-01-09 01:59:59+00:00,38.3
2017-01-09 02:59:59+00:00,44.2
2017-01-09 03:59:59+00:00,31.9
2017-01-09 04:59:59+00:00,23.5
2017-01-09 05:59:59+00:00,21.7
2017-01-09 06:59:59+00:00,18.4
2017-01-09 07:59:59+00:00,45.7
2017-01-09 08:59:59+00:00,75.59999999999998
2017-01-09 09:59:59+00:00,64.9
2017-01-09 10:59:59+00:00,59.0
2017-01-09 11:59:59+00:00,28.9
2017-01-09 12:59:59+00:00,35.3
